Name,Category,Description,Id,SubCategory,Registry
Full Access,System,Bypasses all permission checks; granted automatically to organisation owners.,full_access,Access,Portal
View Role Management,Admin,Access the Roles & permissions screen to see which roles exist and what permissions they carry.,view_role_management,Roles,Portal
Manage Roles and Permissions,Admin,"Create or edit roles, assign permission sets to roles, and remove roles; required to change what team members can do.",manage_roles_and_permissions,Roles,Portal
View all subscriptions,Admin,List every plan and add-on the organisation is subscribed to; needed for billing and capacity decisions.,view_subscriptions,Subscriptions,Portal
View subscription details,Admin,"Open one subscription to see plan name, status, renewal date, and linked usage or limits.",view_subscription_details,Subscriptions,Portal
Start a subscription,Admin,"Enrol the organisation in a new plan or add-on (e.g. identity, screening) so the team can use that feature.",create_subscription,Subscriptions,Portal
Cancel a subscription,Admin,End an existing plan or add-on so it stops renewing and the feature is no longer available.,delete_subscription,Subscriptions,Portal
View organisation details,Admin,"See the organisation’s name, branding, and high-level settings (e.g. enterprise status) without editing.",view_organisation_details,Organisations,Portal
Request enterprise access,Admin,Submit or trigger a request for enterprise-level features or terms for the organisation.,update_organisation_enterprise_access,Organisations,Portal
Update organisation details,Admin,"Change the organisation’s name, branding, or other settings stored at org level.",update_organisation_details,Organisations,Portal
View organisation documents,Admin,"Access documents or files stored under the organisation (e.g. contracts, certificates).",view_organisation_documents,Organisations,Portal
Create organisation documents,Admin,Upload or create new documents that belong to the organisation.,create_organisation_documents,Organisations,Portal
View all team members,Admin,"List everyone in the organisation’s team, their roles, and invite status.",view_organisation_team,Team,Portal
Remove team members,Admin,Remove a user from the organisation so they lose access to the portal and APIs for this org.,delete_organisation_team_member,Team,Portal
Invite team members,Admin,Send email invitations so new users can join the organisation’s team.,update_organisation_team_invitations,Team,Portal
Update team member,Admin,"Change a team member’s assigned role(s), permission overrides, or department.",update_organisation_team_member,Team,Portal
View departments,Admin,List the organisation’s departments used when assigning team members.,view_organisation_departments,Departments,Portal
Manage departments,Admin,"Create, edit, or remove organisation departments.",manage_organisation_departments,Departments,Portal
Manage notification groups,Admin,Define and edit groups that control who receives which system or product notifications.,manage_notification_groups,Notifications,Portal
View in-app notifications,Settings,Use the notifications bell and drawer in the portal to read and dismiss in-app alerts.,view_in_app_notifications,Notifications,Portal
View all ID verification requests,Identity Verification,List every ID verification request (e.g. link sent to a candidate) and their status.,view_identity_verification_requests_list,Requests,Portal
View ID verification request details,Identity Verification,"Open one request to see expiry, link, and whether it was completed or withdrawn.",view_identity_verification_request_details,Requests,Portal
View all screening results,Screening,"List all risk screening cases and their outcomes (e.g. sanctions, PEP, adverse media).",view_screening_results_list,Results,Portal
View screening result,Screening,"Open one screening case to see hits, sources, and risk flags in detail.",view_screening_result,Results,Portal
Submit screening request,Screening,"Run a new screening (e.g. sanctions, PEP, adverse media) for a person or company.",submit_screening_request,Requests,Portal
View screening dashboard,Screening,"Access the screening overview (counts, recent cases, quick actions).",view_screening_dashboard,Dashboard,Portal
View all people,Screening,List people that have been screened or are linked to screening cases.,view_people,People,Portal
View person details,Screening,"Open one person record to see name, identifiers, and linked screening results.",view_person,People,Portal
Edit person,Screening,"Change a person’s name, DOB, or other details in the screening database.",edit_person,People,Portal
Delete person,Screening,Remove a person record from the screening area (e.g. for data minimisation).,delete_person,People,Portal
Create person,Screening,Add a new person to the screening database so they can be screened.,create_person,People,Portal
View all companies,Screening,List companies that have been screened or are linked to screening cases.,view_companies,Companies,Portal
View company details,Screening,"Open one company record to see name, registration, and linked screening results.",view_company,Companies,Portal
Create company,Screening,Add a new company to the screening database so it can be screened.,create_company,Companies,Portal
Edit company,Screening,"Change a company’s name, registration number, or other details.",edit_company,Companies,Portal
Delete company,Screening,Remove a company record from the screening area.,delete_company,Companies,Portal
Business discovery,Screening,Search external sources to discover and match companies before or after screening.,business_discovery,Companies,Portal
Archive screening case,Screening,Archive or unarchive a screening case so it is hidden from or restored to active lists.,archive_screening_case,Cases,Portal
Create screening case,Screening,Start a new screening case and attach people or companies to run checks.,create_screening_case,Cases,Portal
Create screening template,Screening,Define a reusable set of screening checks (e.g. sanctions + PEP) to run on cases.,create_screening_template,Templates,Portal
Update screening template,Screening,Change the checks or settings of an existing screening template.,update_screening_template,Templates,Portal
Archive screening template,Screening,Archive a template so it can no longer be applied to new cases.,archive_screening_template,Templates,Portal
Run screening search,Screening,"Execute or re-run searches (e.g. sanctions, PEP) within a screening case.",run_screening_search,Cases,Portal
Contact screening candidate,Screening,Send messages or requests to a candidate linked to a screening case.,contact_screening_candidate,Cases,Portal
Request screening verification,Screening,Request that a candidate provide or confirm information for the screening case.,request_screening_verification,Cases,Portal
View dashboard,Dashboard,"Access the main portal dashboard (stats, quick actions, recent activity).",view_dashboard,Overview,Portal
View operations report,Dashboard,"View organisation operations metrics (signed applications, ID verification outcomes, daily blockers) and export CSV for invoice checks.",view_operations_report,Reports,Portal
View verification request workflow,Identity Verification,See the Workflow timeline on a verification request (ops actions such as waiting on TRN or re-upload).,view_verification_request_workflow,Requests,Portal
View all profiles,Profiles,Access the profiles list and search or filter people who have completed verifications.,view_profiles,List,Portal
View profile details,Profiles,Open a profile page; which tabs and evidence you see still depend on separate tab and evidence permissions.,view_profile_details,Details,Portal
View profile Identity tab,Profiles,"See the Identity tab on a profile: document type, status, and result summary only (no ID images unless you also have view identity evidence).",view_profile_identity_tab,Details,Portal
View profile Address tab,Profiles,See the Address tab: verified address and result summary only (no document or photo files unless you also have view address evidence).,view_profile_address_tab,Details,Portal
View profile References tab,Profiles,See the References tab: character or employer references and their status or response.,view_profile_references_tab,Details,Portal
View profile Employment tab,Profiles,See the Employment tab: employment history and verification outcomes.,view_profile_employment_tab,Details,Portal
